y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
4,No,0,200,Горьковская,Автозаводская линия,3-к квартира,55.0,4,7,1569011400,1 неделю назад,56.314161999999996,43.991533000000004,603000,Нижегородский район,No
3,No,0,2700,Буревестник,Сормовская линия,2-к квартира,42.0,4,5,1568995800,1 неделю назад,56.333119999999994,43.848503,603035,Московский район,No
2,Yes,50,2900,Буревестник,Сормовская линия,2-к квартира,48.0,3,9,1568991900,1 неделю назад,56.348771,43.854207,603054,Сормовский район,No
1,No,0,5300,Парк Культуры,Автозаводская линия,1-к квартира,33.0,2,3,1568992260,1 неделю назад,56.193652,43.85515,603018,Богородский район,No
2,No,0,2500,Парк Культуры,Автозаводская линия,1-к квартира,41.0,12,17,1568994960,1 неделю назад,56.218947,43.858429,603142,Автозаводский район,No
2,No,0,1500,Парк Культуры,Автозаводская линия,1-к квартира,35.5,9,10,1568991600,1 неделю назад,56.228436,43.867457,603083,Автозаводский район,No
1,Yes,50,5500,Буревестник,Сормовская линия,1-к квартира,33.0,4,5,1568987820,1 неделю назад,56.357544,43.813998,603139,Сормовский район,No
2,Yes,40,400,Двигатель Революции,Автозаводская линия,2-к квартира,45.0,4,5,1568986800,1 неделю назад,56.28052099999999,43.921518,603135,Ленинский район,No
2,Yes,80,2300,Парк Культуры,Автозаводская линия,2-к квартира,50.0,8,9,1568985780,1 неделю назад,56.260513,43.846778,603138,Автозаводский район,No
2,No,0,2600,Буревестник,Сормовская линия,2-к квартира,46.0,2,9,1568986500,1 неделю назад,56.349385,43.86072,603003,Сормовский район,No
2,Yes,70,700,Двигатель Революции,Автозаводская линия,2-к квартира,46.0,4,5,1568035620,2 недели назад,56.278153,43.911493,603135,Ленинский район,No
3,No,70,1700,Горьковская,Автозаводская линия,1-к квартира,43.0,3,9,1568061300,2 недели назад,56.3159,44.022192,603024,Советский район,No
3,No,0,3900,Горьковская,Автозаводская линия,2-к квартира,54.0,6,9,1568046180,2 недели назад,56.28436899999999,44.030232,603136,Советский район,No
